Time,w_f,F,N1,N2,P3,T5
0.05,0.849509085962241,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.051,0.850243845393437,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.052,0.85097856914011,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.053,0.851713256503188,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.054,0.852447906783635,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.055,0.853182519282454,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.056,0.853917093300684,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.057,0.854651628139402,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.058,0.855386123099726,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.059,0.856120577482812,31.8655967023974,7001.8343359081,12717.4741993786,1461.59178160557,1145.1108407147
0.06,0.856854990589858,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.061,0.857589361722104,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.062,0.858323690180829,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.063,0.859057975267358,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.064,0.859792216283056,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.065,0.860526412529336,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.066,0.861260563307652,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.067,0.861994667919506,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.068,0.862728725666445,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.069,0.863462735850063,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.07,0.864196697772002,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.071,0.864930610733952,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.072,0.865664474037651,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.073,0.86639828698489,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.074,0.867132048877506,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.075,0.867865759017389,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.076,0.868599416706482,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.077,0.869333021246778,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
0.078,0.870066571940325,31.9567680334707,7005.69522723232,12720.5142168012,1466.41608115958,1149.18807601563
